S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANIL BALUNI,Bharatiya Janata Party,418531,13628,432159,58.6
2,GANESH GODIYAL,Indian National Congress,262692,5964,268656,36.43
3,SONU KUMAR,Independent,4803,19,4822,0.65
4,ASHUTOSH SINGH,Uttarakhand Kranti Dal,4182,379,4561,0.62
5,DHEER SINGH,Bahujan Samaj Party,4007,115,4122,0.56
6,MUKESH PRAKASH,Independent,3064,15,3079,0.42
7,SURESHI DEVI,Peoples Party of India (Democratic),1472,40,1512,0.21
8,DEEPENDRA SINGH NEGI,Independent,1408,232,1640,0.22
9,ARJUN SINGH,Akhil Bhartiya Parivar Party,1308,70,1378,0.19
10,RESHMA PANWAR,Socialist Unity Centre Of India (COMMUNIST),1168,125,1293,0.18
11,DR MUKESH PANT,Sainik Samaj Party,1121,58,1179,0.16
12,VINOD KUMAR SHARMA,Uttarakhand Samanta Party,838,46,884,0.12
13,SHYAMLAL,Bahujan Mukti Party,743,28,771,0.1
14,NOTA,None of the Above,11224,151,11375,1.54
